States;2018 At Least High School Graduate ;2018 Bachelor's Degree and Higher;2018 Graduate or Professional Degree;2017 At Least High School Graduate ;2017 Bachelor's Degree and Higher;2017 Graduate or Professional Degree;2016 At Least High School Graduate ;2016 Bachelor's Degree and Higher;2016 Graduate or Professional Degree;2015 At least High School Graduate  ;2015 Bachelors Degree and higher;2015 Graduate or Professional Degree;2014 At least High School Graduate;2014 Bachelors Degree and higher;2014 Graduate or Professional Degree;2013 At least High School Graduate ;2013  Bachelors Degree and higher;2013 Graduate or Professional Degree;2012 At least High School Graduate ;2012  Bachelors Degree and higher;2012 Graduate or Professional Degree;2011 At least High School Graduate ;2011 Bachelors Degree and higher;2011 Graduate or Professional Degree;2010 At least High School Graduate;2010 Bachelors Degree and higher;2010 Graduate or Professional Degree;
New Hampshire;157,983;65,105;20,554;153,638;68,344;21,018;150,88;66,824;20,207;147196;45174;18103;144326;40090;17102;140874;37671;13597;137567;41831;15089;135065;39453;15088;135026;37989;13334;
New Jersey;1,075,852;543,499;169,185;1,089,374;539,527;177,487;1,072,646;514,631;163,197;1060132;344430;158566;1053318;334344;152972;1036125;325166;159970;1024011;323807;151265;1023484;310839;140406;1005918;318860;137772;
New Mexico;246,2;64,864;19,97;247,363;67,744;21,267;243,382;65,564;20,333;231232;37565;21528;238604;40993;19424;233177;41494;22131;234467;40813;18331;230729;42066;15448;219846;35456;16297;
New York;2,627,987;1,332,263;465,527;2,651,959;1,311,673;462,426;2,606,044;1,284,441;449,621;2582494;834676;433097;2549884;800461;435851;2492759;782518;418254;2441573;748651;410388;2391858;717970;406083;2342090;711288;387056;
North Carolina;1,255,301;476,238;128,29;1,219,077;468,044;138,088;1,184,050;434,047;128,372;1143191;295317;121085;1123702;289694;115255;1102471;280926;116101;1082165;275505;106489;1064677;270702;97397;1065012;265598;91441;
North Dakota;108,575;41,506;8,007;109,563;44,475;11,745;110,433;42,227;9,204;108196;31729;8917;101825;27759;7322;96348;23439;8349;94401;26175;8658;88905;24705;7275;85204;24292;7263;
Ohio;1,418,627;517,998;165,268;1,406,599;501,392;157,439;1,376,749;489,95;147,83;1367228;330763;145618;1336570;328871;145823;1306851;314912;144462;1294361;304881;133863;1283827;290294;128754;1280620;293867;121975;
Oklahoma;493,229;141,885;40,524;483,919;143,712;36,205;478,56;143,589;36,194;476266;103451;32445;466877;101763;35148;456713;101196;31120;454900;99096;32279;446113;98884;29169;441123;90318;27700;
Oregon;543,991;209,018;57,5;530,833;212,508;59,539;524,906;200,006;59,071;503719;132830;57053;487555;125745;47288;482360;117274;47167;476578;117859;47201;471057;115543;42933;459953;114366;40349;
Pennsylvania;1,576,448;676,063;215,605;1,565,491;661,456;219,939;1,548,766;652,368;200,607;1518212;424846;199027;1489699;414843;194063;1462920;403879;185976;1439376;388519;180149;1405373;369345;170724;1380761;359281;162111;
Rhode Island;139,28;56,847;19,45;135,171;52,982;18,375;135,049;58,008;16,27;130237;35371;16508;122927;32238;15862;120866;36025;15721;116408;29816;14757;115010;32781;12784;109422;29963;15161;
South Carolina;592,739;202,609;55,136;578,485;187,421;55,682;571,848;187,507;53,596;561787;130138;54350;537765;120141;50259;525132;120670;50241;523109;114977;46687;510430;112654;42085;505112;114723;44525;
South Dakota;107,821;40,289;10,261;106,756;35,44;8,978;100,997;38,207;9,683;102933;27160;7874;103074;26141;7982;103033;25727;7455;102173;23995;8265;95592;25096;7354;96073;24393;6581;
Tennessee;842,338;286,898;78,791;834,732;292,448;90,945;807,452;275,38;84,038;777408;184026;80298;767066;176895;73670;751885;175171;74873;749143;170070;68688;737657;159828;64399;718988;149982;67359;
Texas;3,727,676;1,312,561;371,27;3,640,816;1,276,751;352,472;3,547,482;1,228,026;336,774;3447694;852300;318597;3345754;812101;313154;3250338;784969;295887;3169138;730605;274243;3072514;720274;262755;2981169;697641;240730;
Utah;431,335;158,17;39,145;422,012;155,537;35,286;415,611;150,48;38,186;406490;107626;30404;398712;100289;29603;406894;105148;33386;407184;101077;32682;398495;101163;28289;410024;102179;25910;
Vermont;72,485;34,574;9,033;68,936;29,451;8,179;65,879;28,322;8,072;64762;20646;6872;69006;19047;9051;65372;19810;7404;64752;18482;6716;66033;19885;7370;65216;17637;6292;
Virginia;1,093,068;486,362;165,743;1,084,730;487,047;164,94;1,065,540;473,137;169,388;1082827;305837;158633;1069950;299806;162915;1057570;290715;158300;1045400;293347;152081;1005812;291171;142002;969768;269774;137494;
Washington;1,067,962;453,954;137,01;1,022,222;419,137;126,394;987,942;400,634;121,543;958369;262496;111116;920332;242744;98037;890247;239864;89892;876344;221130;86232;863652;213551;88664;834562;204546;83161;
West Virginia;192,401;56,349;18,232;190,618;51,804;15,828;194,683;55,524;18,642;197532;38051;19005;200185;36412;17044;193470;33318;18971;196391;35724;16740;196138;34805;16000;195699;34499;15142;
Wisconsin;688,245;258,714;68,484;684,857;264,889;66,065;681,539;260,404;69,098;676867;185663;57912;678886;184831;60988;677652;177856;62831;675652;170917;61620;672287;170546;55685;654667;157637;55076;
Wyoming;72,189;21,194;6,469;74,748;21,642;5,772;76,422;22,037;5,065;75566;16392;5589;77330;16923;5352;75811;18770;6368;74127;16277;2486;72201;15533;5376;72485;13910;5332;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
